time_stamp,hr
1.9119999408721924,93
2.9070000648498535,93
3.8919999599456787,93
4.927000045776367,95
5.961999893188477,96
6.9070000648498535,95
7.896999835968018,95
8.932000160217285,94
9.92199993133545,95
10.911999702453613,96
11.902000427246094,95
12.892000198364258,95
13.927000045776367,95
14.916999816894531,93
15.906999588012695,92
16.89699935913086,88
17.933000564575195,86
18.922000885009766,86
19.91200065612793,87
20.902999877929688,86
21.892000198364258,86
22.92799949645996,84
23.91699981689453,84
24.906999588012695,84
25.89699935913086,84
26.93199920654297,86
27.922000885009766,87
28.913000106811523,89
30.118000030517578,90
31.106000900268555,93
32.104000091552734,97
33.08599853515625,99
34.07600021362305,99
35.066001892089844,100
36.055999755859375,102
37.04600143432617,104
38.0359992980957,103
39.0260009765625,102
40.01599884033203,101
41.00600051879883,101
41.99599838256836,103
42.986000061035156,103
43.97600173950195,102
44.965999603271484,102
45.95600128173828,102
46.94599914550781,99
47.93600082397461,98
49.91899871826172,96
50.90599822998047,95
50.90700149536133,96
51.895999908447266,96
54.37099838256836,94
54.374000549316406,94
55.361000061035156,94
56.35100173950195,94
57.34199905395508,94
58.33700180053711,92
59.32099914550781,90
60.31100082397461,91
61.301998138427734,91
62.29199981689453,94
63.28200149536133,95
64.27200317382812,95
65.26100158691406,95
66.2509994506836,93
67.24199676513672,91
68.23100280761719,91
69.27300262451172,92
70.21199798583984,92
71.20099639892578,91
72.19100189208984,90
73.18199920654297,88
74.18900299072266,84
75.65599822998047,82
76.1520004272461,81
77.14199829101562,80
78.6259994506836,81
79.12200164794922,81
80.11699676513672,80
81.10099792480469,80
82.09200286865234,80
83.08200073242188,81
84.07099914550781,82
85.06099700927734,84
86.052001953125,84
87.0459976196289,84
88.03199768066406,83
89.02100372314453,84
90.01200103759766,84
91.00199890136719,84
91.99299621582031,85
92.98200225830078,86
94.46600341796875,87
95.45600128173828,87
95.9520034790039,88
96.94200134277344,90
97.93199920654297,91
98.9219970703125,89
99.91200256347656,89
100.9010009765625,88
102.38700103759766,88
103.37699890136719,89
104.36699676513672,90
105.85199737548828,90
106.34700012207031,91
107.33699798583984,92
108.3270034790039,92
109.31999969482422,95
110.30699920654297,95
111.2969970703125,95
112.78399658203125,93
113.2770004272461,92
114.26699829101562,91
115.25700378417969,89
116.24700164794922,87
117.23699951171875,85
118.22699737548828,83
119.21700286865234,83
120.20700073242188,83
121.197998046875,84
122.18699645996094,83
123.1780014038086,82
124.17400360107422,81
125.15699768066406,81
126.15399932861328,80
127.13999938964844,79
128.1269989013672,78
129.11700439453125,78
130.10800170898438,78
131.0970001220703,79
132.08700561523438,80
133.07699584960938,81
134.56199645996094,81
135.0570068359375,85
136.0469970703125,85
137.03700256347656,85
138.02699279785156,85
139.01699829101562,87
140.0070037841797,87
140.9969940185547,90
141.98699951171875,92
142.97900390625,93
143.9669952392578,94
144.95700073242188,95
145.94700622558594,94
146.93699645996094,94
147.927001953125,94
148.91700744628906,94
149.90699768066406,94
151.39199829101562,95
152.3820037841797,97
153.3719940185547,98
154.36199951171875,99
155.3520050048828,98
156.3419952392578,98
157.33200073242188,96
158.32200622558594,95
159.31199645996094,95
160.302001953125,96
161.29200744628906,95
162.28199768066406,95
163.27200317382812,95
164.26400756835938,95
165.2519989013672,92
166.24200439453125,88
167.23199462890625,87
168.2220001220703,87
169.21200561523438,87
170.20199584960938,89
171.19200134277344,88
172.1820068359375,88
173.1719970703125,89
174.16200256347656,90
175.15199279785156,91
176.14199829101562,92
177.1320037841797,91
178.14599609375,89
179.11199951171875,89
180.1020050048828,90
181.0919952392578,91
182.08200073242188,91
183.07200622558594,90
184.06199645996094,89
185.05299377441406,89
186.04200744628906,87
187.03199768066406,86
188.02200317382812,86
189.01199340820312,88
190.0019989013672,88
190.99400329589844,89
192.47799682617188,90
193.96200561523438,91
193.96800231933594,90
194.95199584960938,89
195.94200134277344,89
196.93299865722656,90
197.9219970703125,91
198.91200256347656,91
199.9029998779297,92
201.38800048828125,93
202.3769989013672,94
203.3679962158203,94
204.35800170898438,95
205.3470001220703,97
206.33799743652344,96
207.3280029296875,94
208.31700134277344,94
209.30799865722656,95
210.2969970703125,97
211.28700256347656,98
212.2779998779297,98
213.27000427246094,96
214.2570037841797,97
215.2480010986328,97
216.23800659179688,98
217.2270050048828,99
218.21800231933594,99
219.20799255371094,101
220.19700622558594,101
221.18800354003906,100
222.17799377441406,98
223.16700744628906,99
224.1580047607422,99
225.1479949951172,100
226.14300537109375,102
227.1280059814453,102
228.1179962158203,102
229.1219940185547,102
230.59300231933594,99
231.08799743652344,100
232.0780029296875,101
233.0679931640625,103
234.05799865722656,103
235.04800415039062,104
236.1790008544922,105
237.0279998779297,106
238.01800537109375,107
239.00799560546875,108
239.9980010986328,110
240.98800659179688,112
241.97799682617188,114
242.96800231933594,117
243.96200561523438,120
244.947998046875,119
245.93800354003906,119
246.93299865722656,119
247.91799926757812,113
248.9080047607422,111
250.39300537109375,110
251.38299560546875,108
252.3730010986328,108
253.36300659179688,105
254.35299682617188,103
255.34300231933594,102
256.3330078125,102
257.322998046875,103
258.31298828125,103
259.3030090332031,103
260.2929992675781,103
261.2829895019531,103
262.27301025390625,104
263.26300048828125,105
264.25799560546875,104
265.2430114746094,103
