time_stamp,hr
1.9010000228881836,105
2.9000000953674316,106
3.9260001182556152,106
4.915999889373779,107
5.9070000648498535,107
6.895999908447266,107
7.886000156402588,107
8.920999526977539,107
9.916000366210938,107
10.901000022888184,107
11.890999794006348,108
12.925999641418457,109
13.916999816894531,109
14.906999588012695,109
15.897000312805176,109
16.88599967956543,108
17.92099952697754,107
18.910999298095703,107
19.902000427246094,107
20.891000747680664,108
21.926000595092773,109
22.966999053955078,108
23.91200065612793,108
24.902000427246094,106
25.886999130249023,105
26.92099952697754,105
27.91200065612793,104
28.902000427246094,104
29.892000198364258,105
31.375999450683594,106
32.36600112915039,107
33.36399841308594,108
34.35300064086914,108
35.33700180053711,108
36.32600021362305,108
37.316001892089844,108
38.30699920654297,107
39.297000885009766,107
40.2869987487793,108
41.277000427246094,107
42.266998291015625,107
43.25699996948242,107
44.24700164794922,107
45.23699951171875,107
46.22700119018555,107
47.220001220703125,107
48.207000732421875,107
49.196998596191406,108
50.19200134277344,108
51.176998138427734,108
52.16699981689453,108
53.15700149536133,108
54.14699935913086,108
55.137001037597656,108
56.12699890136719,108
57.117000579833984,107
58.106998443603516,107
59.09700012207031,107
60.08700180053711,107
61.07699966430664,107
62.5620002746582,107
63.05699920654297,107
64.05699920654297,107
65.53700256347656,107
66.0270004272461,106
67.01699829101562,106
68.50199890136719,105
68.99700164794922,105
69.98699951171875,105
71.96700286865234,105
71.96800231933594,105
72.95700073242188,105
73.9469985961914,104
74.94200134277344,104
75.927001953125,104
76.91699981689453,104
77.90699768066406,103
78.89700317382812,102
79.89199829101562,101
81.37200164794922,101
82.37100219726562,101
83.35199737548828,101
84.34300231933594,101
85.33200073242188,102
86.3219985961914,102
87.31199645996094,102
88.302001953125,102
89.2969970703125,103
90.28299713134766,102
91.27200317382812,102
92.75700378417969,103
93.25199890136719,103
94.24199676513672,103
95.23200225830078,104
96.22200012207031,104
97.21199798583984,104
98.2020034790039,104
99.19200134277344,104
100.18199920654297,104
101.1719970703125,104
102.16200256347656,104
103.1520004272461,104
104.14199829101562,104
105.13200378417969,104
106.12799835205078,104
107.11199951171875,104
108.59700012207031,104
109.09200286865234,104
110.08200073242188,104
111.07499694824219,104
112.06199645996094,104
113.052001953125,104
114.04399871826172,104
115.03199768066406,105
116.02200317382812,105
117.01200103759766,105
118.00199890136719,105
118.99199676513672,105
119.98300170898438,105
120.97200012207031,105
121.96299743652344,106
122.9520034790039,105
123.94200134277344,105
124.93199920654297,104
125.9229965209961,104
126.91799926757812,104
127.90299987792969,104
128.89199829101562,104
130.3769989013672,104
131.3769989013672,104
132.35800170898438,104
133.3470001220703,104
134.33799743652344,103
135.3280029296875,103
136.32200622558594,103
137.30799865722656,103
138.2969970703125,102
139.28799438476562,102
140.2779998779297,102
141.26699829101562,102
142.25799560546875,102
143.2469940185547,102
144.23800659179688,102
145.22799682617188,102
146.2169952392578,102
147.21099853515625,102
148.197998046875,101
149.18699645996094,100
150.17799377441406,100
151.16799926757812,99
152.16400146484375,99
153.1490020751953,99
154.13699340820312,99
155.1280059814453,99
156.1179962158203,100
157.10800170898438,100
158.09800720214844,100
159.08799743652344,100
160.0780029296875,100
161.0679931640625,100
162.05799865722656,100
163.04800415039062,100
164.03799438476562,100
165.5229949951172,100
166.0229949951172,100
167.00799560546875,100
167.9980010986328,99
169.48300170898438,99
169.97799682617188,99
170.968994140625,99
171.95799255371094,99
172.947998046875,99
173.93800354003906,100
174.92799377441406,100
175.91799926757812,100
176.9080047607422,100
177.8979949951172,99
179.38299560546875,100
180.3730010986328,99
181.36300659179688,99
182.35299682617188,100
183.34300231933594,100
184.33299255371094,100
185.322998046875,100
186.31300354003906,100
187.30299377441406,100
188.29299926757812,100
189.2830047607422,99
190.76800537109375,99
191.26300048828125,99
192.2530059814453,99
193.2429962158203,99
194.23699951171875,99
195.22300720214844,100
196.218994140625,100
197.2030029296875,100
198.1929931640625,101
199.18299865722656,101
200.17300415039062,100
201.16299438476562,100
202.1540069580078,100
203.14300537109375,101
204.13299560546875,101
205.12600708007812,101
206.11300659179688,101
207.10299682617188,101
208.09300231933594,101
209.08299255371094,101
210.0760040283203,100
211.06500244140625,100
212.05299377441406,100
213.04299926757812,100
214.0330047607422,100
215.0229949951172,100
216.01300048828125,99
217.0030059814453,99
217.9929962158203,99
218.98300170898438,99
219.97300720214844,99
220.96299743652344,100
221.9530029296875,99
222.9429931640625,101
223.93299865722656,101
224.92300415039062,102
225.91299438476562,102
226.9029998779297,102
227.89300537109375,103
229.3780059814453,105
230.3679962158203,104
231.35800170898438,105
232.34800720214844,107
233.33799743652344,108
234.32899475097656,110
235.3179931640625,112
236.3090057373047,114
237.29800415039062,115
238.28799438476562,117
239.2790069580078,118
240.2740020751953,119
241.25900268554688,120
242.24899291992188,119
243.23899841308594,119
244.22900390625,119
245.21800231933594,118
246.20899963378906,117
247.197998046875,117
248.18800354003906,116
