time_stamp,alsVis,ps1,ps2,ps3,x,y,z
4.0044186252352585,250,48154,47899,48136,0.6669921875,-0.177001953125,0.7158203125
4.014319504586942,251,48154,47898,48132,0.6591796875,-0.1739501953125,0.7109375
4.024220383938627,249,48146,47901,48132,0.658203125,-0.175048828125,0.71923828125
4.034121263290311,255,48155,47901,48133,0.6640625,-0.1710205078125,0.7158203125
4.044022142641996,252,48155,47897,48136,0.6669921875,-0.154052734375,0.708984375
4.05392302199368,251,48155,47903,48136,0.6748046875,-0.1689453125,0.7109375
4.063823901345364,250,48147,47901,48136,0.6748046875,-0.1510009765625,0.7119140625
4.073724780697049,253,48146,47905,48131,0.68701171875,-0.1600341796875,0.72314453125
4.083625660048733,253,48154,47897,48125,0.67822265625,-0.1429443359375,0.72705078125
4.0935265394004166,251,48152,47897,48138,0.69287109375,-0.135009765625,0.73095703125
4.102437330816933,253,48150,47896,48136,0.69921875,-0.135009765625,0.73291015625
4.112338210168617,252,48150,47907,48130,0.7119140625,-0.135986328125,0.72412109375
4.122239089520301,250,48157,47900,48132,0.701171875,-0.1259765625,0.72802734375
4.132139968871986,252,48154,47896,48130,0.7041015625,-0.134033203125,0.72998046875
4.14204084822367,254,48152,47902,48136,0.703125,-0.1280517578125,0.7099609375
4.152931815510523,250,48150,47899,48130,0.69677734375,-0.133056640625,0.72314453125
4.162832694862207,249,48152,47902,48133,0.6982421875,-0.14501953125,0.72314453125
4.172733574213891,253,48154,47896,48142,0.7001953125,-0.137939453125,0.7138671875
4.1826344535655755,248,48149,47899,48136,0.69384765625,-0.134033203125,0.72802734375
4.192535332917259,252,48150,47905,48141,0.69287109375,-0.133056640625,0.72021484375
4.202436212268944,248,48150,47898,48134,0.68310546875,-0.134033203125,0.73095703125
4.212337091620628,253,48157,47901,48136,0.68994140625,-0.14501953125,0.72216796875
4.222237970972312,252,48152,47898,48130,0.68017578125,-0.1409912109375,0.73193359375
4.232138850323997,248,48154,47897,48131,0.68017578125,-0.1429443359375,0.72998046875
4.242039729675681,255,48156,47901,48135,0.65576171875,-0.1390380859375,0.744140625
4.251940609027365,250,48157,47901,48129,0.6611328125,-0.1419677734375,0.7509765625
4.26184148837905,252,48155,47897,48131,0.65087890625,-0.14599609375,0.744140625
4.271742367730734,249,48151,47904,48134,0.65380859375,-0.1409912109375,0.73681640625
4.281643247082418,251,48147,47902,48131,0.65283203125,-0.1419677734375,0.740234375
4.291544126434102,249,48151,47895,48133,0.65283203125,-0.136962890625,0.748046875
4.301445005785786,250,48153,47899,48135,0.65576171875,-0.134033203125,0.7421875
