time_stamp,hr
1.8669999837875366,54
2.8570001125335693,53
3.8469998836517334,52
4.886000156402588,52
5.873000144958496,52
6.861999988555908,52
7.8520002365112305,51
8.88700008392334,51
9.876999855041504,51
10.866999626159668,51
11.857000350952148,50
12.847000122070312,50
13.881999969482422,50
14.871999740600586,50
15.86299991607666,50
16.89699935913086,50
17.93199920654297,49
18.878000259399414,49
19.867000579833984,50
20.85700035095215,50
21.847000122070312,51
22.881999969482422,51
23.871999740600586,51
24.86199951171875,51
25.851999282836914,51
26.886999130249023,51
27.87700080871582,51
29.273000717163086,51
30.261999130249023,51
31.25200080871582,51
32.242000579833984,51
33.23500061035156,51
34.22200012207031,51
35.21200180053711,52
36.20199966430664,52
37.19200134277344,51
38.18199920654297,51
39.17300033569336,51
40.1619987487793,51
41.64699935913086,51
42.637001037597656,52
43.62699890136719,53
44.12200164794922,53
45.11199951171875,53
46.10300064086914,52
47.09199905395508,52
48.082000732421875,51
49.073001861572266,52
50.0629997253418,52
51.051998138427734,52
52.042999267578125,51
53.03200149536133,52
54.02299880981445,53
55.01300048828125,53
56.00400161743164,53
56.99300003051758,52
57.983001708984375,52
58.972999572753906,53
59.9630012512207,53
60.95199966430664,52
61.94300079345703,52
62.93199920654297,53
63.922000885009766,53
64.91300201416016,53
65.9020004272461,52
66.89199829101562,53
67.88300323486328,53
68.87799835205078,53
69.86299896240234,53
70.85299682617188,52
72.33699798583984,52
73.3270034790039,52
74.31800079345703,52
75.31800079345703,53
76.30000305175781,53
77.28800201416016,53
78.27799987792969,52
79.26799774169922,52
80.25700378417969,52
81.24800109863281,52
82.23699951171875,52
83.22799682617188,51
84.21800231933594,51
85.20800018310547,51
86.197998046875,51
87.18800354003906,51
88.18099975585938,51
89.1709976196289,51
90.15799713134766,51
91.14800262451172,50
92.13800048828125,50
93.12799835205078,50
94.11799621582031,50
95.60299682617188,50
96.0979995727539,50
97.08799743652344,50
98.572998046875,50
99.06800079345703,51
100.05799865722656,51
101.0510025024414,51
102.03800201416016,51
103.02799987792969,52
104.01799774169922,51
105.01300048828125,52
105.99800109863281,52
106.98999786376953,52
107.97799682617188,52
109.46299743652344,52
109.95800018310547,53
110.947998046875,55
111.93800354003906,55
112.9280014038086,54
113.91799926757812,53
114.90799713134766,52
115.89800262451172,52
116.88800048828125,52
117.87799835205078,52
118.86799621582031,52
119.85800170898438,52
121.34300231933594,51
122.33300018310547,51
123.322998046875,51
